Year,Units,Zeitreihe,Value
1999,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.918
2000,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.832
2001,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.958
2002,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,4.182
2003,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.741
2004,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.582
2005,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.577
2006,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.515
2007,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.524
2008,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.686
2009,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.602
2010,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.754
2011,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.785
2012,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.447
2013,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.41
2014,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.352
2015,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.146
2016,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,2.954
2017,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.191
2018,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.145
2019,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.17
2020,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.071
2021,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Ostsee,3.196
1999,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,4.131
2000,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,4.022
2001,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.833
2002,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.76
2003,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.617
2004,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.583
2005,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.552
2006,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.558
2007,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.481
2008,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.446
2009,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.381
2010,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.385
2011,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.296
2012,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.169
2013,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.157
2014,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,3.086
2015,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,2.978
2016,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,2.921
2017,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,2.975
2018,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,2.838
2019,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,2.815
2020,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,2.756
2021,Milligramm pro Liter,Stickstoffeintrag über die Zuflüsse in die Nordsee,2.75
