Year,Units,Value
1990,1990 = 100,100.0
1991,1990 = 100,96.341
1992,1990 = 100,92.389
1993,1990 = 100,91.658
1994,1990 = 100,90.199
1995,1990 = 100,89.643
1996,1990 = 100,91.028
1997,1990 = 100,88.17
1998,1990 = 100,86.168
1999,1990 = 100,83.454
2000,1990 = 100,83.228
2001,1990 = 100,84.385
2002,1990 = 100,82.654
2003,1990 = 100,81.98
2004,1990 = 100,80.111
2005,1990 = 100,79.028
2006,1990 = 100,80.108
2007,1990 = 100,76.891
2008,1990 = 100,77.534
2009,1990 = 100,72.043
2010,1990 = 100,74.278
2011,1990 = 100,72.4
2012,1990 = 100,73.219
2013,1990 = 100,74.576
2014,1990 = 100,71.347
2015,1990 = 100,72.008
2016,1990 = 100,71.646
2017,1990 = 100,70.443
2018,1990 = 100,68.098
2019,1990 = 100,63.722
2020,1990 = 100,58.527
2021,1990 = 100,60.798
2022,1990 = 100,59.789
2023,1990 = 100,53.659
2024,1990 = 100,51.821
2030,1990 = 100,
2040,1990 = 100,
2045,1990 = 100,
