Year,Value,Units
1990,76.571,2030 = 100
1991,72.271,2030 = 100
1992,71.288,2030 = 100
1993,73.097,2030 = 100
1994,76.604,2030 = 100
1995,73.082,2030 = 100
1996,76.048,2030 = 100
1997,72.785,2030 = 100
1998,70.136,2030 = 100
1999,74.822,2030 = 100
2000,71.864,2030 = 100
2001,71.115,2030 = 100
2002,69.744,2030 = 100
2003,69.809,2030 = 100
2004,72.457,2030 = 100
2005,70.991,2030 = 100
2006,70.212,2030 = 100
2007,70.06,2030 = 100
2008,70.34,2030 = 100
2009,67.219,2030 = 100
2010,67.973,2030 = 100
2011,66.195,2030 = 100
2012,70.411,2030 = 100
2013,67.814,2030 = 100
2014,67.006,2030 = 100
2015,69.773,2030 = 100
2016,70.502,2030 = 100
2030,,2030 = 100
2030,,2030 = 100
2030,,2030 = 100
2030,,2030 = 100
2030,,2030 = 100
2030,,2030 = 100
